Image_Presented,rawDT,SlideNumber,SubID,SequenceLocation,logDT,residDT,TwoAFC_Sum,TwoAFC_PropCorrect,SequenceNumber
Movies/BigAnimals10_B2.mov,0.965673089,162,A005,Slide2,-0.015169871,-0.027839361,3,0.6,41
Movies/BigAnimals10_B2.mov,0.365179539,163,A005,Slide3,-0.437493564,-0.450102453,3,0.6,41
Movies/black.mov,0.365202546,164,A005,Blank,-0.437466203,-0.450015148,3,0.6,41
Movies/BigAnimals59_A1.mov,1.43291378,165,A005,Slide1,0.156220059,0.143730411,3,0.6,42
Movies/BigAnimals11_B3.mov,0.91563201,166,A005,Slide2,-0.038279033,-0.050710021,3,0.6,42
Movies/BigAnimals11_B3.mov,0.281710714,167,A005,Slide3,-0.550196635,-0.562569588,3,0.6,42
Movies/black.mov,0.349163502,168,A005,Blank,-0.456971159,-0.469286691,3,0.6,42
Movies/BigAnimals03_A2.mov,1.665845156,169,A005,Slide1,0.22163463,0.209375913,3,0.6,43
Movies/BigAnimals07_B1.mov,1.082459331,170,A005,Slide2,0.034411588,0.022209092,3,0.6,43
Movies/BigAnimals07_B1.mov,0.632040322,171,A005,Slide3,-0.199255214,-0.211402076,3,0.6,43
Movies/black.mov,0.532068729,172,A005,Blank,-0.274032265,-0.286124067,3,0.6,43
Movies/BigAnimals06_A4.mov,1.416192412,173,A005,Slide1,0.151122263,0.139084954,3,0.6,44
Movies/BigAnimals07_B1.mov,1.516578078,174,A005,Slide2,0.180864774,0.1688814,3,0.6,44
Movies/BigAnimals07_B1.mov,0.831933796,175,A005,Slide3,-0.079911233,-0.091841221,3,0.6,44
Movies/black.mov,0.315019995,176,A005,Blank,-0.50166188,-0.513539021,3,0.6,44
Movies/BigAnimals05_A3.mov,1.38291049,177,A005,Slide1,0.140794071,0.128969244,3,0.6,45
Movies/BigAnimals10_B2.mov,1.182527781,178,A005,Slide2,0.072811352,0.061038317,3,0.6,45
Movies/BigAnimals10_B2.mov,0.265114248,179,A005,Slide3,-0.576566932,-0.58828869,3,0.6,45
Movies/black.mov,0.398614138,180,A005,Blank,-0.399447301,-0.41111829,3,0.6,45
Movies/BigAnimals03_A2.mov,1.649702311,181,A005,Slide1,0.217405583,0.205784864,3,0.6,46
Movies/BigAnimals13_B4.mov,0.88227731,182,A005,Slide2,-0.05439489,-0.06596583,3,0.6,46
Movies/BigAnimals13_B4.mov,0.965724409,183,A005,Slide3,-0.015146792,-0.026668438,3,0.6,46
Movies/black.mov,0.415293336,184,A005,Blank,-0.381645038,-0.393117867,3,0.6,46
Movies/BigAnimals06_A4.mov,1.983249187,185,A005,Slide1,0.297377285,0.285952803,3,0.6,47
Movies/BigAnimals11_B3.mov,1.015720963,186,A005,Slide2,0.006774416,-0.004602181,3,0.6,47
Movies/BigAnimals11_B3.mov,0.198364228,187,A005,Slide3,-0.702536644,-0.713865812,3,0.6,47
Movies/black.mov,0.365224928,188,A005,Blank,-0.437439588,-0.448721776,3,0.6,47
Movies/BigAnimals03_A2.mov,1.899894118,189,A005,Slide1,0.278729398,0.267493747,3,0.6,48
Movies/BigAnimals11_B3.mov,0.865649939,190,A005,Slide2,-0.062657697,-0.073847247,3,0.6,48
Movies/BigAnimals11_B3.mov,0.248343453,191,A005,Slide3,-0.604947285,-0.616091163,3,0.6,48
Movies/black.mov,0.381969064,192,A005,Blank,-0.417971809,-0.429070439,3,0.6,48
Movies/BigAnimals59_A1.mov,2.764413595,1,A007,Slide1,0.44160302,-0.317629731,4,0.8,1
Movies/BigAnimals13_B4.mov,3.234391928,2,A007,Slide2,0.509792644,-0.098664062,4,0.8,1
Movies/BigAnimals13_B4.mov,2.51696825,3,A007,Slide3,0.400877737,-0.13367224,4,0.8,1
Movies/black.mov,3.884837866,4,A007,Blank,0.589372898,0.101749619,4,0.8,1
Movies/BigAnimals06_A4.mov,3.617866278,5,A007,Slide1,0.558452511,0.104372302,4,0.8,2
Movies/BigAnimals10_B2.mov,2.65042758,6,A007,Slide2,0.423315942,-0.005077747,4,0.8,2
Movies/BigAnimals10_B2.mov,2.833934307,7,A007,Slide3,0.452389779,0.044576757,4,0.8,2
Movies/black.mov,2.266767979,8,A007,Blank,0.355407069,-0.035379095,4,0.8,2
Movies/BigAnimals59_A1.mov,3.367683172,9,A007,Slide1,0.527331227,0.150972754,4,0.8,3
Movies/BigAnimals10_B2.mov,3.401061773,10,A007,Slide2,0.53161452,0.167710108,4,0.8,3
Movies/BigAnimals10_B2.mov,2.733814478,11,A007,Slide3,0.436769039,0.083775293,4,0.8,3
Movies/black.mov,1.648689628,12,A007,Blank,0.217138906,-0.126180073,4,0.8,3
Movies/BigAnimals05_A3.mov,2.501217365,13,A007,Slide1,0.398151435,0.063498047,4,0.8,4
Movies/BigAnimals11_B3.mov,2.283483028,14,A007,Slide2,0.358597788,0.031772361,4,0.8,4
Movies/BigAnimals11_B3.mov,2.133355141,15,A007,Slide3,0.329063159,0.009360716,4,0.8,4
Movies/black.mov,1.51613152,16,A007,Blank,0.180736877,-0.132443057,4,0.8,4
Movies/BigAnimals03_A2.mov,2.633753538,17,A007,Slide1,0.420575132,0.113400893,4,0.8,5
Movies/BigAnimals10_B2.mov,2.516979218,18,A007,Slide2,0.40087963,0.099262192,4,0.8,5
Movies/BigAnimals10_B2.mov,2.866355419,19,A007,Slide3,0.457330041,0.160876341,4,0.8,5
Movies/black.mov,1.550395608,20,A007,Blank,0.190442529,-0.1011941,4,0.8,5
Movies/BigAnimals05_A3.mov,2.966364861,21,A007,Slide1,0.472224568,0.185097279,4,0.8,6
Movies/BigAnimals10_B2.mov,2.53365922,22,A007,Slide2,0.403748201,0.120855489,4,0.8,6
Movies/BigAnimals10_B2.mov,2.451240063,23,A007,Slide3,0.389385846,0.110481083,4,0.8,6
Movies/black.mov,1.699519873,24,A007,Blank,0.230326247,-0.04481301,4,0.8,6
Movies/BigAnimals59_A1.mov,1.983226538,25,A007,Slide1,0.297372325,0.02579706,4,0.8,7
Movies/BigAnimals11_B3.mov,3.167540073,26,A007,Slide2,0.500722118,0.232527552,4,0.8,7
Movies/BigAnimals11_B3.mov,2.516926289,27,A007,Slide3,0.400870497,0.135889287,4,0.8,7
Movies/black.mov,1.399428964,28,A007,Blank,0.145950858,-0.115970302,4,0.8,7
Movies/BigAnimals03_A2.mov,2.750417471,29,A007,Slide1,0.439398618,0.180396611,4,0.8,8
Movies/BigAnimals13_B4.mov,2.83391428,30,A007,Slide2,0.45238671,0.19617398,4,0.8,8
Movies/BigAnimals13_B4.mov,2.63395977,31,A007,Slide3,0.420609137,0.167065636,4,0.8,8
